date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:44	27301/27301	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2015:08:57%20GMT	http://acklat.com/NAFIDA/index-1.html	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/index-1.html	(from )
14:59:44	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Jun%202017%2009:29:48%20GMT	http://acklat.com/robots.txt		(from )
14:59:48	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/navin/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://acklat.com/NAFIDA/index-1.html)
14:59:48	5397/5397	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202017%2022:40:05%20GMT	http://acklat.com/NAFIDA/css/general_style.css	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/css/general_style.css	(from http://acklat.com/NAFIDA/index-1.html)
14:59:49	540/540	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202017%2022:40:06%20GMT	http://acklat.com/NAFIDA/css/reset_style.css	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/css/reset_style.css	(from http://acklat.com/NAFIDA/index-1.html)
14:59:50	26622/26622	---M--	200	added ('OK')	image/x-icon	date:Thu,%2026%20Jan%202017%2011:39:04%20GMT	http://acklat.com/NAFIDA/favicon.ico	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/favicon.ico	(from http://acklat.com/NAFIDA/index-1.html)
14:59:50	2274/2274	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2019%20Jan%202017%2023:21:09%20GMT	http://acklat.com/NAFIDA/images/ring.svg	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/images/ring.svg	(from http://acklat.com/NAFIDA/index-1.html)
14:59:51	15281/15281	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202017%2022:40:07%20GMT	http://acklat.com/NAFIDA/css/main_style.css	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/css/main_style.css	(from http://acklat.com/NAFIDA/index-1.html)
15:00:04	98307/98307	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202017%2023:21:42%20GMT	http://acklat.com/NAFIDA/images/pers-pic.jpg	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/images/pers-pic.jpg	(from http://acklat.com/NAFIDA/index-1.html)
15:00:08	100657/100657	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202017%2023:19:40%20GMT	http://acklat.com/NAFIDA/images/HNCK2530.jpg	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/images/HNCK2530.jpg	(from http://acklat.com/NAFIDA/index-1.html)
15:00:36	269630/269630	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202017%2023:21:08%20GMT	http://acklat.com/NAFIDA/images/P1020724.jpg	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/images/P1020724.jpg	(from http://acklat.com/NAFIDA/index-1.html)
15:00:52	270158/270158	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202017%2023:18:57%20GMT	http://acklat.com/NAFIDA/images/DSC01002.jpg	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/images/DSC01002.jpg	(from http://acklat.com/NAFIDA/index-1.html)
15:00:53	395103/395103	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202017%2023:19:03%20GMT	http://acklat.com/NAFIDA/images/DJI_0118.jpg	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/images/DJI_0118.jpg	(from http://acklat.com/NAFIDA/index-1.html)
15:01:10	405780/405780	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202017%2023:20:26%20GMT	http://acklat.com/NAFIDA/images/HNCK9221.jpg	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/images/HNCK9221.jpg	(from http://acklat.com/NAFIDA/index-1.html)
15:01:12	119387/119387	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202017%2023:20:08%20GMT	http://acklat.com/NAFIDA/images/HNCK4575.jpg	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/images/HNCK4575.jpg	(from http://acklat.com/NAFIDA/index-1.html)
15:01:16	8484/8484	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2015:09:26%20GMT	http://acklat.com/NAFIDA/single-post.html	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/single-post.html	(from http://acklat.com/NAFIDA/index-1.html)
15:01:22	193358/193358	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202017%2023:20:26%20GMT	http://acklat.com/NAFIDA/images/HNCK9879.jpg	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/images/HNCK9879.jpg	(from http://acklat.com/NAFIDA/index-1.html)
15:01:25	344465/344465	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202017%2023:19:43%20GMT	http://acklat.com/NAFIDA/images/DSC01103.jpg	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/images/DSC01103.jpg	(from http://acklat.com/NAFIDA/index-1.html)
15:01:26	157974/157974	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202017%2023:18:09%20GMT	http://acklat.com/NAFIDA/images/blog1.jpg	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/images/blog1.jpg	(from http://acklat.com/NAFIDA/index-1.html)
15:01:38	3773/3773	---M--	200	added ('OK')	application/javascript	date:Thu,%2026%20Jan%202017%2011:39:25%20GMT	http://acklat.com/NAFIDA/js/jquery.popup.js	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/js/jquery.popup.js	(from http://acklat.com/NAFIDA/index-1.html)
15:01:39	78862/78862	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202017%2023:18:25%20GMT	http://acklat.com/NAFIDA/images/blog3.jpg	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/images/blog3.jpg	(from http://acklat.com/NAFIDA/index-1.html)
15:01:46	97163/97163	---M--	200	added ('OK')	application/javascript	date:Thu,%2026%20Jan%202017%2011:39:28%20GMT	http://acklat.com/NAFIDA/js/jquery-1.12.4.min.js	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/js/jquery-1.12.4.min.js	(from http://acklat.com/NAFIDA/index-1.html)
15:01:54	10269/10269	---M--	200	added ('OK')	application/javascript	date:Thu,%2026%20Jan%202017%2011:39:30%20GMT	http://acklat.com/NAFIDA/js/script.js	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/js/script.js	(from http://acklat.com/NAFIDA/index-1.html)
15:02:02	302867/302867	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202017%2023:18:37%20GMT	http://acklat.com/NAFIDA/images/blog2.jpg	C:/My%20Web%20Sites/navin/acklat.com/NAFIDA/images/blog2.jpg	(from http://acklat.com/NAFIDA/index-1.html)
